Pinmux settings per pin
Format: pin (name): mux_owner gpio_owner hog?
pin 0 (SHARKL5PRO_UART_INF6_SYS_SEL): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 1 (SHARKL5PRO_UART_INF5_SYS_SEL): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 2 (SHARKL5PRO_UART_INF4_SYS_SEL): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 3 (SHARKL5PRO_UART_INF3_SYS_SEL): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 4 (SHARKL5PRO_UART_INF2_INF3_LOOP): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 5 (SHARKL5PRO_UART_INF2_INF4_LOOP): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 6 (SHARKL5PRO_UART_INF2_SYS_SEL): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 7 (SHARKL5PRO_UART_INF1_INF4_LOOP): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 8 (SHARKL5PRO_UART_INF1_INF3_LOOP): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 9 (SHARKL5PRO_UART_INF1_SYS_SEL): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 10 (SHARKL5PRO_UART_INF0_SYS_SEL): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 11 (SHARKL5PRO_UART_INF9_SYS_SEL): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 12 (SHARKL5PRO_UART_INF8_SYS_SEL): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 13 (SHARKL5PRO_UART_INF7_INF8_LOOP): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 14 (SHARKL5PRO_UART_INF7_SYS_SEL): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 15 (SHARKL5PRO_IIS_INF4_INF3_LOOP): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 16 (SHARKL5PRO_IIS_INF4_SYS_SEL): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 17 (SHARKL5PRO_IIS_INF3_SYS_SEL): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 18 (SHARKL5PRO_IIS_INF2_SYS_SEL): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 19 (SHARKL5PRO_IIS_INF1_INF2_LOOP): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 20 (SHARKL5PRO_IIS_INF1_SYS_SEL): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 21 (SHARKL5PRO_IIS_INF0_INF2_LOOP): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 22 (SHARKL5PRO_IIS_INF0_INF1_LOOP): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 23 (SHARKL5PRO_IIS_INF0_SYS_SEL): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 24 (SHARKL5PRO_SIM_INF2_SYS_SEL): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 25 (SHARKL5PRO_SIM_INF1_SYS_SEL): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 26 (SHARKL5PRO_SIM_INFO_SYS_SEL): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 27 (SHARKL5PRO_SPI_INF3_SYS_SEL): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 28 (SHARKL5PRO_SPI_INF2_SYS_SEL): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 29 (SHARKL5PRO_SPI_INF1_SYS_SEL): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 30 (SHARKL5PRO_SPI_INF0_SYS_SEL): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 31 (SHARKL5PRO_IIC_INF7_SYS_SEL): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 32 (SHARKL5PRO_IIC_INF6_SYS_SEL): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 33 (SHARKL5PRO_IIC_INF5_SYS_SEL): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 34 (SHARKL5PRO_IIC_INF4_SYS_SEL): (MUX UNCLAIMED) (GPIO UNCLAIMED)
