Mixer name: 'sprdphone-sc2730'
Number of controls: 291
ctl     type    num     name                                     value

0       INT     2       VBC DAC0 DSP MDG Set                     0 1
1       INT     2       VBC DAC1 DSP MDG Set                     0 4
2       INT     2       VBC DAC0 AUD MDG Set                     0 1
3       INT     2       VBC DAC0 AUD23 MDG Set                   0 0
4       INT     1       VBC_SRC_DAC0                             0
5       INT     1       VBC_SRC_DAC1                             0
6       INT     1       VBC_SRC_ADC0                             0
7       INT     1       VBC_SRC_ADC1                             0
8       INT     1       VBC_SRC_ADC2                             0
9       INT     1       VBC_SRC_ADC3                             0
10      INT     1       VBC_SRC_BT_DAC                           0
11      INT     1       VBC_SRC_BT_ADC                           0
12      INT     1       VBC_SRC_FM                               0
13      INT     2       VBC DAC0 DG Set                          25 25
14      INT     2       VBC DAC1 DG Set                          0 0
15      INT     2       VBC ADC0 DG Set                          0 0
16      INT     2       VBC ADC1 DG Set                          0 0
17      INT     2       VBC ADC2 DG Set                          0 0
18      INT     2       VBC ADC3 DG Set                          0 0
19      INT     2       VBC FM DG Set                            0 0
20      INT     2       VBC ST DG Set                            0 0
21      INT     2       OFFLOAD DG Set                           0 0
22      INT     2       VBC_SMTHDG_DAC0                          0 0
23      INT     1       VBC_SMTHDG_DAC0_STEP                     0
24      INT     2       VBC_MIXERDG_DAC0_MAIN                    0 0
25      INT     2       VBC_MIXERDG_DAC0_MIX                     0 0
26      INT     2       VBC_MIXERDG_DAC1_MAIN                    0 0
27      INT     2       VBC_MIXERDG_DAC1_MIX                     0 0
28      INT     1       VBC_MIXERDG_STEP                         0
29      ENUM    1       VBC_MIXER0_DAC0                          HALF_ADD
30      ENUM    1       VBC_MIXER1_DAC0                          NOT_MIX
31      ENUM    1       VBC_MIXER0_DAC1                          NOT_MIX
32      ENUM    1       VBC_MIXER_ST                             NOT_MIX
33      ENUM    1       VBC_MIXER_FM                             NOT_MIX
34      ENUM    1       VBC_MUX_ADC0_SOURCE                      ADC_SOURCE_IIS
35      ENUM    1       VBC_MUX_ADC1_SOURCE                      ADC_SOURCE_IIS
36      ENUM    1       VBC_MUX_ADC2_SOURCE                      ADC_SOURCE_IIS
37      ENUM    1       VBC_MUX_ADC3_SOURCE                      ADC_SOURCE_IIS
38      ENUM    1       VBC_MUX_DAC0_OUT_SEL                     DAC_OUT_FROM_IIS
39      ENUM    1       VBC_MUX_DAC1_OUT_SEL                     DAC_OUT_FROM_IIS
40      ENUM    1       VBC_MUX_ADC0                             ADC_IN_IIS0_ADC
41      ENUM    1       VBC_MUX_ADC1                             ADC_IN_IIS0_ADC
42      ENUM    1       VBC_MUX_ADC2                             ADC_IN_IIS0_ADC
43      ENUM    1       VBC_MUX_ADC3                             ADC_IN_IIS0_ADC
44      ENUM    1       VBC_MUX_FM                               FM_IN_FM_SRC_OUT
45      ENUM    1       VBC_MUX_ST                               ST_IN_ADC0
46      ENUM    1       VBC_MUX_LOOP_DAC0                        DAC0_SMTHDG_OUT
47      ENUM    1       VBC_MUX_LOOP_DAC1                        DAC1_MIXER_OUT
48      ENUM    1       VBC_MUX_LOOP_DAC0_DAC1                   DAC0_DAC1_SEL_DAC1
49      ENUM    1       VBC_MUX_AUDRCD01                         AUDRCD_IN_ADC0
50      ENUM    1       VBC_MUX_AUDRCD23                         AUDRCD_IN_ADC0
51      ENUM    1       VBC_MUX_TDM_AUDRCD23                     AUDRCD23_TDM_SEL_AUDRCD23
52      ENUM    1       VBC_MUX_AP01_DSP_PLY                     AP01_TO_DSP_DISABLE
53      ENUM    1       VBC_MUX_AP01_DSP_RCD                     AP01_TO_DSP_DISABLE
54      ENUM    1       VBC_MUX_DAC0_IIS_PORT_SEL                VBC_IIS_PORT_IIS0
55      ENUM    1       VBC_MUX_DAC1_IIS_PORT_SEL                VBC_IIS_PORT_IIS0
56      ENUM    1       VBC_MUX_DAC2_IIS_PORT_SEL                VBC_IIS_PORT_IIS2
57      ENUM    1       VBC_MUX_ADC0_IIS_PORT_SEL                VBC_IIS_PORT_IIS1
58      ENUM    1       VBC_MUX_ADC1_IIS_PORT_SEL                VBC_IIS_PORT_IIS1
59      ENUM    1       VBC_MUX_ADC2_IIS_PORT_SEL                VBC_IIS_PORT_IIS1
60      ENUM    1       VBC_MUX_ADC3_IIS_PORT_SEL                VBC_IIS_PORT_IIS3
61      ENUM    1       VBC_MUX_IIS0_PORT_DO_SEL                 IIS_DO_VAL_DAC0
62      ENUM    1       VBC_MUX_IIS1_PORT_DO_SEL                 IIS_DO_VAL_DAC1
63      ENUM    1       VBC_MUX_IIS2_PORT_DO_SEL                 IIS_DO_VAL_DAC2
64      ENUM    1       VBC_MUX_IIS3_PORT_DO_SEL                 IIS_DO_VAL_DAC2
65      ENUM    1       VBC_MUX_MST_IIS0_PORT_DO_SEL             IIS_DO_VAL_DAC0
66      ENUM    1       VBC_ADDER_OFLD                           ADDER_MOD_IGNORE
67      ENUM    1       VBC_ADDER_FM_DAC0                        ADDER_MOD_IGNORE
68      ENUM    1       VBC_ADDER_ST_DAC0                        ADDER_MOD_IGNORE
69      INT     1       VBC_DSP_LOOPBACK_ARM_RATE                0
70      INT     1       VBC_DSP_LOOPBACK_VOICE_FMT               0
71      INT     1       VBC_DSP_LOOPBACK_LOOP_MODE               0
72      ENUM    1       VBC_DSP_LOOPBACK_TYPE                    ADDA
73      ENUM    1       VBC_DAC0_DP_EN                           disable
74      ENUM    1       VBC_DAC1_DP_EN                           disable
75      ENUM    1       VBC_DAC2_DP_EN                           disable
76      ENUM    1       VBC_ADC0_DP_EN                           disable
77      ENUM    1       VBC_ADC1_DP_EN                           disable
78      ENUM    1       VBC_ADC2_DP_EN                           disable
79      ENUM    1       VBC_ADC3_DP_EN                           disable
80      ENUM    1       VBC_OFLD_DP_EN                           disable
81      ENUM    1       VBC_FM_DP_EN                             disable
82      ENUM    1       VBC_ST_DP_EN                             disable
83      ENUM    1       VBC_UL_MUTE                              disable
84      ENUM    1       VBC_DL_MUTE                              disable
85      ENUM    1       VBC IIS Master Setting                   disable_iis0
86      BOOL    1       agdsp_access_en                          Off
87      BOOL    1       agdsp_access_a2dp_en                     Off
88      INT     1       VBC FM_MUTE_SMOOTHDG STEP                1
89      ENUM    1       VBC_FM_UNMUTE_SMOOTH                     mute
90      INT     1       VBC_VOLUME                               0
91      INT     1       Audio Structure Profile Update           0
92      INT     1       DSP VBC Profile Update                   0
93      INT     1       CVS Profile Update                       0
94      INT     1       DSP SMARTAMP Update                      0
95      INT     1       Audio Structure Profile Select           0
96      INT     1       DSP VBC Profile Select                   961216512
97      INT     1       NXP Profile Select                       0
98      INT     1       DSP FFSMARTAMP Select                    0
99      ENUM    1       VBC_IIS_TX0_WD_SEL                       WD_24BIT
